ItemCode;User_Text;Valid;Frozen;PlanningSystem;Properties1;Properties2
ItemCode;UserText;validFor;frozenFor;PlaningSys;QryGroup1;QryGroup2
3-2-10077;Puntual;N;Y;N;N;Y
3-2-10078;Puntual;N;Y;N;N;Y
3-2-10023;Puntual;N;Y;N;N;Y
3-2-10026;Puntual;N;Y;N;N;Y
3-2-10028;Puntual;N;Y;N;N;Y
3-2-10034;Puntual;N;Y;N;N;Y
3-2-10035;Puntual;N;Y;N;N;Y
3-2-10036;Puntual;N;Y;N;N;Y
3-2-10037;Puntual;N;Y;N;N;Y
3-2-10041;Puntual;N;Y;N;N;Y
3-2-10042;Puntual;N;Y;N;N;Y
3-2-10043;Puntual;N;Y;N;N;Y
3-2-10044;Puntual;N;Y;N;N;Y
3-2-10046;Puntual;N;Y;N;N;Y
3-2-10079;Puntual;N;Y;N;N;Y
3-2-10049;Puntual;N;Y;N;N;Y
3-2-10050;Puntual;N;Y;N;N;Y
3-2-10051;Puntual;N;Y;N;N;Y
3-2-10052;Puntual;N;Y;N;N;Y
3-2-10057;Puntual;N;Y;N;N;Y
3-2-10059;Puntual;N;Y;N;N;Y
3-2-10060;Puntual;N;Y;N;N;Y
3-2-10067;Puntual;N;Y;N;N;Y
3-2-10075;Puntual;N;Y;N;N;Y
3-2-10076;Puntual;N;Y;N;N;Y
3-2-10080;Puntual;N;Y;N;N;Y
3-2-10082;Puntual;N;Y;N;N;Y
3-2-10083;Puntual;N;Y;N;N;Y
3-2-10084;Puntual;N;Y;N;N;Y
3-2-10085;Puntual;N;Y;N;N;Y
